id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,cavity,capacity,cleaning,lighting,auto_menus,thermostat,installation,function_list,cooking_levels,device_display,microwave_power,programmability,total_functions,water_tank_capacity,features
676,SAB4604NX,DolceCompact,45cm Dolce Stil Novo Blast Chiller,dolce stil novo,597mmW x 593mmD x 456mmH,Eclipse Black Glass with Stainless Steel Trim,"1 x Chrome insert
1 x bottle rack
1 x EasyFit temperature probe
1 x Microfiber cloth",N/A,"Open door alarm
 Minute minder
 child safety lock","220-230V, 50Hz,500W,2.2A Connection",Five years parts and labour,Active,15/11/2018,16/11/2018,sab4604nx,"","","",0.0,Stainless steel cavity,40L,Automatic cleaning,1 x 20W halogen,60 automatic programs,-35 to 75°C,Built-in,"warming_functions
proving
speed_(pronto)
defrost_by_time
low_temperature_cooking
defrost_by_weight
cold_functions
cooling
freezing
preservation
chilling
pre_cooling
other_functions",3,Colour Touch TFT,"","[""Fully programmable""]","11 (6 cold functions and 5 warm functions) + 60 automatic programs including cooling
 defrost by time and preservation","","delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls"
683,SF4603MCNR,DolceCompact,60cm Dolce Stil Novo Compact Speed Oven,,597mmW x 456mmH x 571mmD,Eclipse high visibility black glass with Copper Trim,"1 x Chrome grill insert
1 x Chrome shelves
1 x Glass tray
1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3100W,15A current",Two years parts and labour,"",15/11/2018,16/11/2018,sf4603mcnr,"","","",0.0,"",50L,Vapour Clean,1 x 40 Watt halogen,"",50 - 250ºC,Built-in,"",3,TFT,1000W,"[""Fully programmable""]","18 + 50 SmartSense Plus auto menus 
incl. Sabbath mode
 defrost
 proving and keep warm",Built in,"eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
speed
speed
speed
speed
speed
speed
speed
speed
speed
speed
speed
speed
speed
speed
speed
speed
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus"
684,SF4603MCNX,DolceCompact,60cm Dolce Stil Novo Compact Speed Oven,,597mmW x 456mmH x 571mmD,Eclipse high visibility black glass with Stainless Steel Trim,"1 x Chrome grill insert
1 x Chrome shelves
1 x Glass tray
1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3100W,15A current",Two years parts and labour,"",15/11/2018,16/11/2018,sf4603mcnx,"","","",0.0,"",50L,Vapour Clean,1 x 40 Watt halogen,"",50 - 250ºC,Built-in,"",3,TFT,1000W,"[""Fully programmable""]","18 + 50 SmartSense Plus auto menus 
incl. Sabbath mode
 defrost
 proving and keep warm",Built in,"eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
speed
speed
speed
speed
speed
speed
speed
speed
speed
speed
speed
speed
speed
speed
speed
speed
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus"
682,SFA4604VCNX,DolceCompact,45cm Dolce Stil Novo Compact Combi Steam oven,dolce stil novo,597mmW x 548mmD x 450mmH,Eclipse Black Glass with Stainless Steel Trim,"1 x Chrome insert
1 x Chrome shelf
1 x 40mm enamelled baking tray
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x Sponge
1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3100W,14A Connection",Five years parts and labour,Active,15/11/2018,16/11/2018,sfa4604vcnx,"","","",0.0,Ever Clean enamel,50L,Vapour Clean,1 x 40W halogen,50 SmartSense Plus menus,30-250°C,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
fan_forced_+_grill
base_heat
bakers_function
steam
steam_+_static_+_fan
fan_forced_+_steam
reheat
defrost_by_time
defrost_by_weight
proving
sabbath_mode
vapour_clean",3,Colour Touch TFT,"","[""Fully programmable""]","18 + 50 SmartSense Plus auto menus 
incl. Sabbath mode
 defrost
 proving and keep warm",1.2L,"ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus"
677,SFA4603VCNR,DolceCompact,45cm Dolce Stil Novo Compact Combi Steam oven,dolce stil novo,597mmW x 548mmD x 450mmH,Eclipse Black Glass  with Copper Trim,"1 x Chrome insert
1 x Chrome shelf
1 x 40mm enamelled baking tray
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x Sponge","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3100W,14A Connection",Five years parts and labour,Active,15/11/2018,16/11/2018,sfa4603vcnr,"","","",0.0,Ever Clean enamel,50L,Vapour Clean,1 x 40W halogen,50 SmartSense Plus menus,30-250°C,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
bakers_function
steam
steam_+_static_+_fan
fan_forced_+_steam
reheat
proving
sabbath_mode
vapour_clean",3,Knobs + Black&White TFT,1000W,"[""Fully programmable""]","15 + 50 SmartSense Plus auto menus 
incl. Sabbath mode
 defrost
 proving and keep warm","","ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus"
680,SFA4604MCNX,DolceCompact,45cm Dolce Stil Novo Compact Speed oven,dolce stil novo,597mmW x 548mmD x 450mmH,Eclipse Black Glass with Stainless Steel Trim,"1 x Chrome grill insert
1 x Chrome shelves
1 x Glass tray
1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3100W,14A Connection",Five years parts and labour,Active,15/11/2018,16/11/2018,sfa4604mcnx,"","","",0.0,Ever Clean enamel,50L,Vapour Clean,2 x 40W halogen,50 SmartSense Plus menus,30-250°C,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
fan_forced_+_grill
base_heat
bakers_function
microwave
microwave_+_static_+_fan
microwave_+_fan_forced
microwave_+_grill
defrost_by_time
defrost_by_weight
proving
sabbath_mode
vapour_clean",3,Colour Touch TFT,1000W,"[""Fully programmable""]","18 + 50 SmartSense Plus auto menus 
incl. Sabbath mode
 defrost
 proving and keep warm","","ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus"
685,SF4603VCNR1,DolceCompact,60cm Dolce Stil Novo Compact Combi-Steam Oven,,597mmW x 456mmH x 571mmD,Eclipse high visibility black glass with Copper Trim,"1 x Chrome insert
2 x Chrome shelves
1 x 40mm enamelled baking tray
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x Sponge","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50/60Hz,3100W,15A current",Two years parts and labour,"",15/11/2018,16/11/2018,sf4603vcnr1,"","","",0.0,"",50L,Vapour Clean,1 x 40 Watt halogen,"",30 - 250ºC,Built-in,"",3,TFT,n/a,"[""Fully programmable""]","16 + 20 SmartSense Plus auto menus 
incl. Sabbath mode
 defrost
 proving and keep warm",1.2L,"eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
eclipse high visibility glass
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
smartsense plus - 50 auto menus + 10 personal menus
combi-steam
combi-steam
combi-steam
combi-steam
combi-steam
combi-steam
combi-steam
combi-steam
combi-steam
combi-steam
combi-steam
combi-steam
combi-steam
combi-steam
combi-steam
combi-steam"
678,SFA4603VCNX,DolceCompact,45cm Dolce Stil Novo Compact Combi Steam oven,dolce stil novo,597mmW x 548mmD x 450mmH,Eclipse Black Glass with Stainless Steel Trim,"1 x Chrome insert
1 x Chrome shelf
1 x 40mm enamelled baking tray
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x Sponge","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3100W,14A Connection",Five years parts and labour,Active,15/11/2018,16/11/2018,sfa4603vcnx,"","","",0.0,Ever Clean enamel,50L,Vapour Clean,1 x 40W halogen,50 SmartSense Plus menus,30-250°C,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
bakers_function
steam
steam_+_static_+_fan
fan_forced_+_steam
reheat
proving
sabbath_mode
vapour_clean",3,Knobs + Black&White TFT,1000W,"[""Fully programmable""]","15 + 50 SmartSense Plus auto menus 
incl. Sabbath mode
 defrost
 proving and keep warm","","ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus"
681,SFA4604VCNR,DolceCompact,45cm Dolce Stil Novo Compact Combi Steam oven,dolce stil novo,597mmW x 548mmD x 450mmH,Eclipse Black Glass  with Copper Trim,"1 x Chrome insert
1 x Chrome shelf
1 x 40mm enamelled baking tray
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x Sponge
1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3100W,14A Connection",Five years parts and labour,Active,15/11/2018,16/11/2018,sfa4604vcnr,"","","",0.0,Ever Clean enamel,50L,Vapour Clean,1 x 40W halogen,50 SmartSense Plus menus,30-250°C,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
fan_forced_+_grill
base_heat
bakers_function
steam
steam_+_static_+_fan
fan_forced_+_steam
reheat
defrost_by_time
defrost_by_weight
proving
sabbath_mode
vapour_clean",3,Colour Touch TFT,"","[""Fully programmable""]","18 + 50 SmartSense Plus auto menus 
incl. Sabbath mode
 defrost
 proving and keep warm",1.2L,"ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus"
675,SAB4604NR,DolceCompact,45cm Dolce Stil Novo Blast Chiller,dolce stil novo,597mmW x 593mmD x 456mmH,Eclipse Black Glass with Copper Trim,"1 x Chrome insert
1 x bottle rack
1 x EasyFit temperature probe
1 x Microfiber cloth",N/A,"Open door alarm
 Minute minder
 child safety lock","220-230V, 50Hz,500W,2.2A Connection",Five years parts and labour,Active,15/11/2018,16/11/2018,sab4604nr,"","","",0.0,Stainless steel cavity,40L,Automatic cleaning,1 x 20W halogen,60 automatic programs,-35 to 75°C,Built-in,"warming_functions
proving
speed_(pronto)
defrost_by_time
low_temperature_cooking
defrost_by_weight
cold_functions
cooling
freezing
preservation
chilling
pre_cooling
other_functions",3,Colour Touch TFT,"","[""Fully programmable""]","11 (6 cold functions and 5 warm functions) + 60 automatic programs including cooling
 defrost by time and preservation","","delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
delay start
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
-35 to 75°c range
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
rapid chilling and freezing
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
defrost, chill and reheat
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls
colour touch controls"
679,SFA4604MCNR,DolceCompact,45cm Dolce Stil Novo Compact Speed oven,dolce stil novo,597mmW x 548mmD x 450mmH,Eclipse Black Glass  with Copper Trim,"1 x Chrome grill insert
1 x Chrome shelves
1 x Glass tray
1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3100W,14A Connection",Five years parts and labour,Active,15/11/2018,16/11/2018,sfa4604mcnr,"","","",0.0,Ever Clean enamel,50L,Vapour Clean,2 x 40W halogen,50 SmartSense Plus menus,30-250°C,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
fan_forced_+_grill
base_heat
bakers_function
microwave
microwave_+_static_+_fan
microwave_+_fan_forced
microwave_+_grill
defrost_by_time
defrost_by_weight
proving
sabbath_mode
vapour_clean",3,Colour Touch TFT,1000W,"[""Fully programmable""]","18 + 50 SmartSense Plus auto menus 
incl. Sabbath mode
 defrost
 proving and keep warm","","ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
ever clean enamel
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
soft close door
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
vapour clean
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
thermoseal
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus
smartsense plus"
