id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,size,cutout,timers,capacity,controls,ignition,pan_size,installation,power_levels,function_list,gas_connection,features
423,SAI714B,InductionCooktop,70cm Induction Cooktop,,"","Black ceramic surface
 12mm bevelled edge","","","automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop","220-240V, 50/60Hz,7400W ,32A  Must be hard wired",two years parts and labour,"",02/10/2018,02/10/2018,sai714b,"","","",0.0,"700mmW x 45mmH x 520mmD,(Height includes 4mm Ceramic surface)",670mmW x 490mmD,"Simultaneous timers for each zone
independent egg timer","4 zones
*Front left - 210x190mm 2100W | boost 2500/3000W
*Rear left - 210x190mm 1600W | boost 1850W
Front right - 1100W | boost 1400W Ø160mm
Rear right - 2300W | boost 3000W Ø200mm
*These zones feature Surface Share",Circular slider control,"",automatic pan size recognition,"Built-in hob, topmount","9 heat settings per zone + 1 boost setting per zone,1 auto-regulated temperature  ?? 70ºC","","","1 pair x surface share zones
boost
independent timers
automatic spillage stop"
424,SAI73,InductionCooktop,70cm SmartSense Induction Cooktop,,"","Black ceramic surface
 12mm bevelled edge","","","pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop
child safety lock","220-240V, 50/60Hz,7,400W ,31A  Must be hard wired",two years parts and labour,"",02/10/2018,02/10/2018,sai73,"","","",0.0,"700mmW x 45mmH x 520mmD,(Height includes 4mm Ceramic surface)",560mmW x 490mmD,"3 timers
 simultaneous or separate operation
independent egg timer","3 zones
Left 220x180mm 2300W | boost 2900/3700W
Front right* 180mm 2100W | boost 2600/3700W
Rear right* 180mm 2100W | boost 2600/3700W
*These zones feature Surface Share",Slide Control,"",automatic pan size recognition,"Built-in hob, topmount","9 heat settings per zone + 2 boost settings per zone,3 auto-regulated temperatures                             ,? 42ºC,  ?? 70ºC,   ??? 94ºC","","","double boost
preset temperature settings
1 pair x surface share zones
smartsense"
425,SAI74,InductionCooktop,70cm SmartSense Induction Cooktop,,"","Black ceramic surface
 12mm bevelled edge","","","pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop
child safety lock","220-240V, 50/60Hz,7,400W ,31A  Must be hard wired",two years parts and labour,"",02/10/2018,02/10/2018,sai74,"","","",0.0,"700mmW x 45mmH x 520mmD,(Height includes 4mm Ceramic surface)",560mmW x 490mmD,"3 timers
 simultaneous or separate operation
independent egg timer","4 zones
Front left* 220x180mm 2100W | boost 2600/3700W
Rear left* 220x180mm 2100W | boost 2600/3700W
Front right 180mm 1850W | boost 2300/3000W
Rear right 180mm 1850W | boost 2300/3000W
*These zones feature Surface Share",Slide Control,"",automatic pan size recognition,"Built-in hob, topmount","9 heat settings per zone + 2 boost settings per zone,3 auto-regulated temperatures                             ,? 42ºC,  ?? 70ºC,   ??? 94ºC","","","double boost
preset temperature settings
1 pair x surface share zones
smartsense"
426,SAI90MB,InductionCooktop,90cm SmartSense Plus Induction Cooktop,,"","Black ceramic surface
 bevelled edge 33mm front
 5mm sides
 straight back","","","pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop
child safety loc","220-240V, 50/60Hz,11,000W ,45.8A Must be hard wired",two years parts and labour,"",02/10/2018,02/10/2018,sai90mb,"","","",0.0,"900mmW x 45mmH x 520mmD,(Height includes 4mm Ceramic surface)",810mmW x 490mmD,"3 timers
 simultaneous or separate operation
independent egg timer","6 zones
Front left* 220x180mm 2100W | boost 2600/3700W
Rear left* 220x180mm 2100W | boost 2600/3700W
Front centre* 220x180mm 2100W | boost 2600/3700W
Rear centre* 220x180mm 2100W | boost 2600/3700W
Front right* 220x180mm 2100W | boost 2600/3700W
Rear right",Slide Control,"",automatic pan size recognition,"Built-in hob, topmount","9 heat settings per zone + 2 boost settings per zone,3 auto-regulated temperatures                             ,? 42ºC,  ?? 70ºC,   ??? 94ºC","","","double boost
preset temperature settings
active surface control
smartsense plus
3 pairs x surface share zones"
427,SAI90MW,InductionCooktop,90cm SmartSense Plus Induction Cooktop,,"","White ceramic surface
 bevelled edge 33mm front
 5mm sides
 straight back","","","pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop
child safety lock","220-240V, 50/60Hz,11,000W ,45.8A Must be hard wired","two years parts and labour,BOOST FUNCTION Smeg SmartSense induction cooktops feature single boost (2,300W and 2,600W) and double boost (3,000W and 3700W) options. Boost provides an additional surge of power for even more intense heat and is ideal for heating large quantities rapidly","",02/10/2018,02/10/2018,sai90mw,"","","",0.0,"900mmW x 45mmH x 520mmD,(Height includes 4mm Ceramic surface)",810mmW x 490mmD,"3 timers
 simultaneous or separate operation
independent egg timer","6 zones
Front left* 220x180mm 2100W | boost 2600/3700W
Rear left* 220x180mm 2100W | boost 2600/3700W
Front centre* 220x180mm 2100W | boost 2600/3700W
Rear centre* 220x180mm 2100W | boost 2600/3700W
Front right* 220x180mm 2100W | boost 2600/3700W
Rear right",Slide Control,"",automatic pan size recognition,"Built-in hob, topmount","9 heat settings per zone + 2 boost settings per zone,3 auto-regulated temperatures                            ,? 42ºC,  ?? 70ºC,   ??? 94ºC","","","double boost
preset temperature settings
active surface control
smartsense plus
3 pairs x surface share zones"
428,SAI905HN,InductionCooktop,90cm SmartSense Induction Cooktop,,"","Black ceramic surface
 bevelled edge 33mm front
 5mm sides
 straight back","","","pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop
child safety lock","220-240V, 50/60Hz,11,100W ,46.25A  Must be hard wired",two years parts and labour,"",02/10/2018,02/10/2018,sai905hn,"","","",0.0,"900mmW x 45mmH x 520mmD,(Height includes 4mm Ceramic surface)",805mmW x 490mmD,"5 timers
 simultaneous or separate operation
independent egg timer","5 zones
Left 260mm 2600W | boost 3300/5500W
Front centre * 180mm 2100W | boost 2600/3700W
Rear centre* 180mm 2100W | boost 2600/3700W
Front right* 220x180mm 2100W | boost 2600/3700W 
Rear right* 220x180mm 2100W | boost 2600/3700W
*These zones feature Surfa",Slide Control,"",automatic pan size recognition,"Built-in hob, topmount","9 heat settings per zone + 2 boost settings per zone,3 auto-regulated temperatures                             ,? 42ºC,  ?? 70ºC,   ??? 94ºC","","","double boost
preset temperature settings
2 pairs x surface share zones
smartsense"
429,SAI915B,InductionCooktop,82cm Induction Cooktop,,"","Black ceramic surface
 12mm bevelled edge","","","automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop","220-240V, 50/60Hz,7400W ,32A  Must be hard wired",two years parts and labour,"",02/10/2018,02/10/2018,sai915b,"","","",0.0,"820W x 53mmH x 520mmD,(Height excludes 4mm Ceramic surface)",800mmW x 490mmD,"Simultaneous timers for each zone
independent egg timer","5 zones
Front left* 175mm 1400W
Rear Left* 175mm 1400W | boost 2000W
Centre 265mm 2300W | boost 3000W
Front right* 210x190mm 1600W | boost 1850W
Rear right* 210x190mm 2100W | boost 2500W |
                        double boost 3000W
*These zones feature Sur",Circular slider control,"",automatic pan size recognition,"Built-in hob, topmount","9 heat settings per zone + 1 boost setting per zone,Central zone - double boost,1 auto-regulated temperature  ?? 70ºC","","","1 pair x surface share zones
boost
independent timers
automatic spillage stop"
430,SAI95,InductionCooktop,90cm SmartSense Induction Cooktop,,"","Black ceramic surface
 12mm bevelled edge","","","pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop
child safety lock","220-240V, 50/60Hz,11,100W ,46.25A  Must be hard wired",two years parts and labour,"",02/10/2018,02/10/2018,sai95,"","","",0.0,"900mmW x 45mmH x 520mmD,(Height includes 4mm Ceramic surface)",810mmW x 490mmD,"3 timers
 simultaneous or separate operation
independent egg timer","5 zones
Left 260mm 2600W | boost 3300/5500W
Front centre 180mm 1850W | boost 2300/3000W
Rear centre 180mm 1850W | boost 2300/3000W
Front right* 220x180mm 2100W | boost 2600/3700W 
Rear right* 220x180mm 2100W | boost 2600/3700W
*These zones feature Surface",Slide Control,"",automatic pan size recognition,"Built-in hob, topmount","9 heat settings per zone + 2 boost settings per zone,3 auto-regulated temperatures ?? 70ºC","","","double boost
preset temperature settings
1 pair x surface share zones
smartsense"
431,SIHP273S,InductionCooktop,70cm Induction Cooktop,,"","Black ceramic surface
 bevelled edge","","","pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop","220-240V, 50/60Hz,6700W ,31A  Must be hard wired",two years parts and labour,"",02/10/2018,02/10/2018,sihp273s,"","","",0.0,700mmW x 4mmH x 520mmD,560mmW x 490mmD,"3 timers
 simultaneous or separate operation
independent egg timer","3 zones
Left 280mm 2300W | boost 3000W
Front right 200mm 2000W | boost 2300W
Rear right 160mm 1200W | boost 1400W",Slide Control,"",automatic pan size recognition,"Built-in hob, topmount","9 heat settings per zone + 1 boost setting per zone,3 auto-regulated temperatures                             ,? 42ºC,  ?? 70ºC,   ??? 94ºC","","","boost function
nine heat settings per zone
automatic pan size recognition
ergonomic slide control"
432,SIM631WLDR,InductionCooktop,38cm Dolce Stil Novo Induction Cooktop,,"",Black ceramic glass surface with copper trim,"","","auto pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop
child safety lock","220-240V, 50/60Hz,3600W ,16A",five years parts and labour,"",02/10/2018,02/10/2018,sim631wldr,"","","",0.0,380mmW x 53mmH x 510mmD,310mmW x 490mmD,"3 timers
 simultaneous or separate operation
independent egg timer","2 zones
Front centre 230x180mm 2100W | boost 3600W
Rear centre 230x180mm 2100W | boost 3600W",Slide control,"",automatic pan size recognition,Topmount,"9 heat settings per zone + 1 boost setting per zone,3 auto-regulated temperatures                            ,? 42ºC,  ?? 70ºC,   ??? 94ºC","","","preset temperature settings
active surface control
boost function
surface share zone
black ceramic glass finish"
433,SIM631WLDX,InductionCooktop,38cm Dolce Stil Novo Induction Cooktop,,"",Black ceramic glass surface with stainless steel trim,"","","auto pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop
child safety lock","220-240V, 50/60Hz,3600W ,16A",five years parts and labour,"",02/10/2018,02/10/2018,sim631wldx,"","","",0.0,380mmW x 53mmH x 510mmD,310mmW x 490mmD,"3 timers
 simultaneous or separate operation
independent egg timer","2 zones
Front centre 230x180mm 2100W | boost 3600W
Rear centre 230x180mm 2100W | boost 3600W",Slide control,"",automatic pan size recognition,Topmount,"9 heat settings per zone + 1 boost setting per zone,3 auto-regulated temperatures                            ,? 42ºC,  ?? 70ºC,   ??? 94ºC","","","preset temperature settings
active surface control
boost function
surface share zone
black ceramic glass finish"
434,SIM662WLDR,InductionCooktop,60cm Dolce Stil Novo Induction Cooktop,,"",Black ceramic glass surface with copper trim,1 x cast iron wok stand,"","auto pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop
child safety lock","220-240V, 50/60Hz,7200W ,32A",five years parts and labour,"",02/10/2018,02/10/2018,sim662wldr,"","","",0.0,600mmW x 53mmH x 510mmD,560mmW x 490mmD,"3 timers
 simultaneous or separate operation
independent egg timer","4 zones
Front left* 230x180mm 2100W | boost 3600W
Rear left* 230x180mm 2100W | boost 3600W
Front right* 230x180mm 2100W | boost 3600W
Rear right* 230x180mm 2100W | boost 3600W
*These zones feature Surface Share",Slide control,"",automatic pan size recognition,Topmount,"9 heat settings per zone + 1 boost setting per zone,3 auto-regulated temperatures                            ,? 42ºC,  ?? 70ºC,   ??? 94ºC","","","preset temperature settings
active surface control
boost function
black ceramic glass finish
2 x surface share zones"
435,SIM662WLDX,InductionCooktop,60cm Dolce Stil Novo Induction Cooktop,,"",Black ceramic glass surface with stainless steel trim,"","","auto pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop
child safety lock","220-240V, 50/60Hz,7200W ,32A",five years parts and labour,"",02/10/2018,02/10/2018,sim662wldx,"","","",0.0,600mmW x 53mmH x 510mmD,560mmW x 490mmD,"3 timers
 simultaneous or separate operation
independent egg timer","4 zones
Front left* 230x180mm 2100W | boost 3600W
Rear left* 230x180mm 2100W | boost 3600W
Front right* 230x180mm 2100W | boost 3600W
Rear right* 230x180mm 2100W | boost 3600W
*These zones feature Surface Share",Slide control,"",automatic pan size recognition,Topmount,"9 heat settings per zone + 1 boost setting per zone,3 auto-regulated temperatures                            ,? 42ºC,  ?? 70ºC,   ??? 94ºC","","","preset temperature settings
active surface control
boost function
black ceramic glass finish
2 x surface share zones"
436,SIM693WLDR,InductionCooktop,90cm Dolce Stil Novo Induction Cooktop,,"",Black ceramic glass surface with copper trim,"","","auto pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop
child safety lock","220-240V, 50/60Hz,10.8kW ,47A",five years parts and labour,"",02/10/2018,02/10/2018,sim693wldr,"","","",0.0,900mmW x 53mmH x 510mmD,880mmW x 490mmD,"3 timers
 simultaneous or separate operation
independent egg timer","6 zones
Front left* 230x180mm 2100W | boost 3600W
Rear left* 230x180mm 2100W | boost 3600W
Front centre* 230x180mm 2100W | boost 3600W
Rear centre* 230x180mm 2100W | boost 3600W
Front right* 230x180mm 2100W | boost 3600W
Rear right* 230x180mm 2100W | boost",Slide control,"",automatic pan size recognition,Topmount,"9 heat settings per zone + 1 boost setting per zone,3 auto-regulated temperatures                            ,? 42ºC,  ?? 70ºC,   ??? 94ºC","","","preset temperature settings
active surface control
boost function
black ceramic glass finish
3 x surface share zones"
437,SIM693WLDX,InductionCooktop,90cm Dolce Stil Novo Induction Cooktop,,"",Black ceramic glass surface with stainless steel trim,"","","auto pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop
child safety lock","220-240V, 50/60Hz,10.8kW ,47A",five years parts and labour,"",02/10/2018,02/10/2018,sim693wldx,"","","",0.0,900mmW x 53mmH x 510mmD,880mmW x 490mmD,"3 timers
 simultaneous or separate operation
independent egg timer","6 zones
Front left* 230x180mm 2100W | boost 3600W
Rear left* 230x180mm 2100W | boost 3600W
Front centre* 230x180mm 2100W | boost 3600W
Rear centre* 230x180mm 2100W | boost 3600W
Front right* 230x180mm 2100W | boost 3600W
Rear right* 230x180mm 2100W | boost",Slide control,"",automatic pan size recognition,Topmount,"9 heat settings per zone + 1 boost setting per zone,3 auto-regulated temperatures                            ,? 42ºC,  ?? 70ºC,   ??? 94ºC","","","preset temperature settings
active surface control
boost function
black ceramic glass finish
3 x surface share zones"
438,SI364B,InductionCooktop,60cm Induction Cooktop,,"",Black ceramic surface with bevelled edge,"","","residual heat indicators
child safety lock (control lock)","220-240V, 50/60Hz,7,400W ,33A  Must be hard wired",two years parts and labour,"",02/10/2018,02/10/2018,si364b,"","","",0.0,596mmW x 60mmH x 510mmD,"","3 timers
 simultaneous or separate operation
independent egg timer","4 zones
Front left - 2300W | boost 3000W Ø23cm
Rear left - 1300W | boost 1400W Ø16cm
Front right - 1300W | boost 1400W Ø16cm
Rear right - 2300W | boost 3000W Ø23cm",Classic control knobs,"",no,"Built-in hob, topmount",9 heat settings per zone + 1 boost settings per zone,"","","boost function
nine heat settings per zone
classic control knobs"
