id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,capacity,cleaning,lighting,thermostat,installation,function_list,cooking_levels,device_display,microwave_power,programmability,total_functions,water_tank_capacity,features
439,SFA4125M,LinearCompact,60cm Linear Compact Microwave with grill oven,linear,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"1 x Chrome grill insert
1 x Baker plate","","Soft Close door
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3300W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4125m,"","","",0.0,50L,Vapour Clean,1 x 40 Watt halogen,50 - 250ºC,Built-in,"grill
bakers_+_microwave
microwave
microwave_+_grill
defrost_by_time
defrost_by_weight
keep_warm",3,Large LCD,1000W,Delay start and automatic end cooking,7 incl. Defrost by weight/time,"","linear design
ever clean enamel
microwave with grill
easy read display
soft close door"
440,SFA4130MC,LinearCompact,60cm Linear Compact Speed oven,linear,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"1 x Chrome grill insert
1 x Chrome shelves
1 x Glass tray
1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock

controls lock","220-240V, 50/60Hz,3100W,16A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4130mc,"","","",0.0,50L,Vapour Clean,2 x 40 Watt halogen,50 - 250ºC,Built-in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
microwave
microwave_+_grill
microwave_+_fan_forced
microwave_+_static_+_fan
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,TFT,1000W,Fully programmable,"18 incl. Sabbath mode
 defrost
 proving and keep warm
+ 50 SmartSense Plus auto menus
+ 10 Personal programs","","linear design
ever clean enamel
soft close door
speed
smartsense plus - 50 auto menus + 10 personal menus"
441,SFA4130MCB,LinearCompact,60cm Linear Compact Speed oven,linear,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel White Stopsol® reflective glass,"1 x Chrome grill insert
1 x Chrome shelves
1 x Glass tray
1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock

controls lock","220-240V, 50/60Hz,3100W,16A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4130mcb,"","","",0.0,50L,Vapour Clean,2 x 40 Watt halogen,50 - 250ºC,Built-in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
microwave
microwave_+_grill
microwave_+_fan_forced
microwave_+_static_+_fan
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,TFT,1000W,Fully programmable,"18 incl. Sabbath mode
 defrost
 proving and keep warm
+ 50 SmartSense Plus auto menus
+ 10 Personal programs","","linear design
ever clean enamel
soft close door
speed
smartsense plus - 50 auto menus + 10 personal menus"
442,SFA4130MCN,LinearCompact,60cm Linear Compact Speed oven,linear,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel Black Stopsol® reflective glass,"1 x Chrome grill insert
1 x Chrome shelves
1 x Glass tray
1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock

controls lock","220-240V, 50/60Hz,3100W,16A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4130mcn,"","","",0.0,50L,Vapour Clean,2 x 40 Watt halogen,50 - 250ºC,Built-in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
microwave
microwave_+_grill
microwave_+_fan_forced
microwave_+_static_+_fan
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,TFT,1000W,Fully programmable,"18 incl. Sabbath mode
 defrost
 proving and keep warm
+ 50 SmartSense Plus auto menus
+ 10 Personal programs","","linear design
ever clean enamel
soft close door
speed
smartsense plus - 50 auto menus + 10 personal menus"
443,SFA4130VCB,LinearCompact,60cm Linear Compact Combi-Steam oven,linear,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel white Stopsol® reflective glass,"1 x Chrome insert
2 x Chrome shelves
1 x 40mm enamelled baking tray
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x Sponge","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50/60Hz,3100W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4130vcb,"","","",0.0,50L,Vapour Clean,1 x 40 Watt halogen,30 - 250ºC,Built-in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
fan_forced_+_steam
steam
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,TFT,"",Fully programmable,"16 incl. Sabbath mode
 defrost
 proving and keep warm
+ 20 SmartSense Plus auto menus
+ 10 Personal programs",1.2L,"linear design
ever clean enamel
soft close door
smartsense plus - 50 auto menus + 10 personal menus
combi-steam"
444,SFA4130VCN,LinearCompact,60cm Linear Compact Combi-Steam oven,linear,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel black Stopsol® reflective glass,"1 x Chrome insert
2 x Chrome shelves
1 x 40mm enamelled baking tray
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x Sponge","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50/60Hz,3100W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4130vcn,"","","",0.0,50L,Vapour Clean,1 x 40 Watt halogen,30 - 250ºC,Built-in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
fan_forced_+_steam
steam
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,TFT,"",Fully programmable,"16 incl. Sabbath mode
 defrost
 proving and keep warm
+ 20 SmartSense Plus auto menus
+ 10 Personal programs",1.2L,"linear design
ever clean enamel
soft close door
smartsense plus - 50 auto menus + 10 personal menus
combi-steam"
445,SFA4130VC1,LinearCompact,60cm Linear Compact Combi-Steam oven,linear,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"1 x Chrome insert
2 x Chrome shelves
1 x 40mm enamelled baking tray
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x Sponge","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50/60Hz,3100W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4130vc1,"","","",0.0,50L,Vapour Clean,1 x 40 Watt halogen,30 - 250ºC,Built-in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
fan_forced_+_steam
steam
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,TFT,"",Fully programmable,"16 incl. Sabbath mode
 defrost
 proving and keep warm
+ 20 SmartSense Plus auto menus
+ 10 Personal programs",1.2L,"linear design
ever clean enamel
soft close door
smartsense plus - 50 auto menus + 10 personal menus
combi-steam"
446,SFA4140MC,LinearCompact,60cm Linear Compact Speed oven,linear,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"1 x Chrome grill insert
1 x Chrome shelves
1 x Glass tray
1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock

controls lock","220-240V, 50/60Hz,3100W,16A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4140mc,"","","",0.0,50L,Vapour Clean,2 x 40 Watt halogen,50 - 250ºC,Built-in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
microwave
microwave_+_grill
microwave_+_fan_forced
microwave_+_static_+_fan
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Colour Touch TFT,1000W,Fully programmable,"18 incl. Sabbath mode
 defrost
 proving and keep warm
+ 50 SmartSense Plus auto menus
+ 10 Personal programs","","linear design
ever clean enamel
soft close door
speed
smartsense plus - 50 auto menus + 10 personal menus"
447,SFA4140MCB,LinearCompact,60cm Linear Compact Speed oven,linear,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel White Stopsol® reflective glass,"1 x Chrome grill insert
1 x Chrome shelves
1 x Glass tray
1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock

controls lock","220-240V, 50/60Hz,3100W,16A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4140mcb,"","","",0.0,50L,Vapour Clean,2 x 40 Watt halogen,50 - 250ºC,Built-in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
microwave
microwave_+_grill
microwave_+_fan_forced
microwave_+_static_+_fan
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Colour Touch TFT,1000W,Fully programmable,"18 incl. Sabbath mode
 defrost
 proving and keep warm
+ 50 SmartSense Plus auto menus
+ 10 Personal programs","","linear design
ever clean enamel
soft close door
speed
smartsense plus - 50 auto menus + 10 personal menus"
448,SFA4140MCN,LinearCompact,60cm Linear Compact Speed oven,linear,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel Black Stopsol® reflective glass,"1 x Chrome grill insert
1 x Chrome shelves
1 x Glass tray
1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock

controls lock","220-240V, 50/60Hz,3100W,16A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4140mcn,"","","",0.0,50L,Vapour Clean,2 x 40 Watt halogen,50 - 250ºC,Built-in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
microwave
microwave_+_grill
microwave_+_fan_forced
microwave_+_static_+_fan
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Colour Touch TFT,1000W,Fully programmable,"18 incl. Sabbath mode
 defrost
 proving and keep warm
+ 50 SmartSense Plus auto menus
+ 10 Personal programs","","linear design
ever clean enamel
soft close door
speed
smartsense plus - 50 auto menus + 10 personal menus"
449,SFA4140VC,LinearCompact,60cm Linear Compact Combi-Steam oven,linear,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"1 x Chrome insert
2 x Chrome shelves
1 x 40mm enamelled baking tray
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x Sponge","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50/60Hz,3100W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4140vc,"","","",0.0,50L,Vapour Clean,1 x 40 Watt halogen,30 - 250ºC,Built-in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
fan_forced_+_steam
steam
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Colour Touch TFT,"",Fully programmable,"16 incl. Sabbath mode
 defrost
 proving and keep warm
+ 20 SmartSense Plus auto menus
+ 10 Personal programs",1.2L,"linear design
ever clean enamel
soft close door
smartsense plus - 50 auto menus + 10 personal menus
combi-steam"
450,SFA4140VCB,LinearCompact,60cm Linear Compact Combi-Steam oven,linear,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel white Stopsol® reflective glass,"1 x Chrome insert
2 x Chrome shelves
1 x 40mm enamelled baking tray
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x Sponge","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50/60Hz,3100W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4140vcb,"","","",0.0,50L,Vapour Clean,1 x 40 Watt halogen,30 - 250ºC,Built-in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
fan_forced_+_steam
steam
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Colour Touch TFT,"",Fully programmable,"16 incl. Sabbath mode
 defrost
 proving and keep warm
+ 20 SmartSense Plus auto menus
+ 10 Personal programs",1.2L,"linear design
ever clean enamel
soft close door
smartsense plus - 50 auto menus + 10 personal menus
combi-steam"
451,SFA4140VCN,LinearCompact,60cm Linear Compact Combi-Steam oven,linear,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel black Stopsol® reflective glass,"1 x Chrome insert
2 x Chrome shelves
1 x 40mm enamelled baking tray
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x Sponge","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50/60Hz,3100W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4140vcn,"","","",0.0,50L,Vapour Clean,1 x 40 Watt halogen,30 - 250ºC,Built-in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
fan_forced_+_steam
steam
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Colour Touch TFT,"",Fully programmable,"16 incl. Sabbath mode
 defrost
 proving and keep warm
+ 20 SmartSense Plus auto menus
+ 10 Personal programs",1.2L,"linear design
ever clean enamel
soft close door
smartsense plus - 50 auto menus + 10 personal menus
combi-steam"
452,SFA4140VCN1,LinearCompact,60cm Linear Compact Combi-Steam oven,linear,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel black Stopsol® reflective glass,"1 x Chrome insert
2 x Chrome shelves
1 x 40mm enamelled baking tray
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x Sponge","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50/60Hz,3100W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4140vcn1,"","","",0.0,50L,Vapour Clean,1 x 40 Watt halogen,30 - 250ºC,Built-in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
fan_forced_+_steam
steam
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Colour Touch TFT,"",Fully programmable,"16 incl. Sabbath mode
 defrost
 proving and keep warm
+ 20 SmartSense Plus auto menus
+ 10 Personal programs",1.2L,"linear design
ever clean enamel
soft close door
smartsense plus - 50 auto menus + 10 personal menus
combi-steam"
