id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,cavity,capacity,cleaning,lighting,auto_menus,door_glass,thermostat,installation,function_list,quote_display,cooking_levels,device_display,interior_finish,programmability,total_functions,features
468,ALFA140UK,Oven,Professional Convection Oven,"",700mmW x 715mmD x 562mmD,"
Stainless steel with double glazed cool door","","","","230V 50Hz,3000W ,13A connection","","",02/10/2018,02/11/2018,alfa140uk,"","",/development/uploads/oven/cover_image/468/cover_image_ce68eeba-444e-4a52-bc88-fa5bcd72d4cc.jpg,0.0,"","","","","","",50 - 250ºC,Freestanding,"","",4,Text on display,"","","",""
672,test001,Oven,,,,"","","","",,,,05/10/2018,05/10/2018,test001,,,"",0.0,,"",,,,,,,"",,,,,"","",""
469,DOA330X1,Oven,76cm Classic pyrolytic double oven,classic,1300mmH x 632mmD x 754mmW,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","each oven -
3 x chromed-wire shelves 
1 x enamel grill tray with insert
1 x meat probe
1 x Total telescopic guides","PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish","thermal protection system
child safety lock","220-240V, 50/60Hz,7550W,31.5A current",Two years parts and labour,Active,02/10/2018,02/10/2018,doa330x1,"","","",0.0,"",130L (each oven),Pyrolytic cleaning function,3 x 25W halogen (each oven),"","",25 - 250ºC,Built-in,"pyrolytic_cleaning
defrost_proofing_dehydrate_warming
grill
convection
fan_forced
fan_grill
fan_assisted
bakers_function","",6 (each oven),LED,"",Fully programmable,"6 incl. proofing
 defrost
 dehydrate
 warming
 Sabbath mode","pyrolytic cleaning
large capacity
twin fan - even cooking
meat probe"
470,SFA106B,Oven,60cm Linear Thermoseal Oven - White,,597mmW x 592mmH x 570mmD,Stainless steel White Stopsol® reflective glass,"1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x chrome grill insert
2 x chrome shelves","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 Total telescopic guides","Thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa106b,"","","",0.0,"",79L,"Smeg Vapour Clean, Ever-Clean enamelling",1 x 40W halogen,"","",30 - 280ºC,Built-in,"","",5,Compact LCD,"",Fully programmable,12,"ever clean enamel
thermoseal technology
vapour clean
minimalist design"
471,SFA106N,Oven,60cm Linear Thermoseal Oven - Black,,597mmW x 592mmH x 570mmD,Stainless steel black Stopsol® reflective glass,"1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x chrome grill insert
2 x chrome shelves","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 Total telescopic guides","Thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa106n,"","","",0.0,"",79L,"Smeg Vapour Clean, Ever-Clean enamelling",1 x 40W halogen,"","",30 - 280ºC,Built-in,"","",5,Compact LCD,"",Fully programmable,12,"ever clean enamel
thermoseal technology
vapour clean
minimalist design"
472,SFA106S,Oven,60cm Linear Thermoseal Oven - Silver,,597mmW x 592mmH x 570mmD,Stainless steel Stopsol® reflective glass,"1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x chrome grill insert
2 x chrome shelves","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 Total telescopic guides","Thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa106s,"","","",0.0,"",79L,"Smeg Vapour Clean, Ever-Clean enamelling",1 x 40W halogen,"","",30 - 280ºC,Built-in,"","",5,Compact LCD,"",Fully programmable,12,"ever clean enamel
thermoseal technology
vapour clean
minimalist design"
473,SFA561X,Oven,60cm Classic Thermoseal Oven,,597mmW x 570mmD x 592mmH,"Fingerprint proof stainless steel
Eclipse high visibility black glass","1 x Chrome grill insert
1 x 40mm baking tray
1 x removable roof liner
2 x chrome shelves","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa561x,"","","",0.0,"",79L,Vapour Clean,1 x 40W halogen,"","",30 - 250ºC,"Flush, underbench or wallmount","",Automatic Countdown Timer,5,Text on panel,"",Countdown Timer,9,"ever clean enamel
thermoseal technology
vapour clean
cool door technology"
474,SFA561X2,Oven,60cm Classic Thermoseal Oven,,597mmW x 570mmD x 592mmH,"Fingerprint proof stainless steel
Eclipse high visibility black glass","1 x Chrome grill insert
1 x 40mm baking tray
2 x chrome shelves","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa561x2,"","","",0.0,"",79L,Vapour Clean,1 x 40W halogen,"","",30 - 250ºC,"Flush, underbench or wallmount","",Automatic Countdown Timer,5,Text on panel,"",Countdown Timer,9,"ever clean enamel
thermoseal technology
vapour clean
cool door technology"
475,SFA562X,Oven,60cm Classic Thermoseal Oven,,597mmW x 570mmD  x 592mmH,"Fingerprint proof stainless steel
Eclipse high visibility black glass","1 x Chrome grill insert
1 x 40mm baking tray
1 x removable roof liner
2 x chrome shelves","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa562x,"","","",0.0,"",79L,Vapour Clean,1 x 40W halogen,"","",30 - 250ºC,"Flush, underbench or wallmount","",Automatic Countdown Timer,5,Text on panel,"",Countdown Timer,9,"ever clean enamel
thermoseal technology
vapour clean
cool door technology"
476,SFA562X2,Oven,60cm Classic Thermoseal Oven,,597mmW x 570mmD  x 592mmH,"Fingerprint proof stainless steel
Eclipse high visibility black glass","1 x Chrome grill insert
1 x 40mm baking tray
2 x chrome shelves","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa562x2,"","","",0.0,"",79L,Vapour Clean,1 x 40W halogen,"","",30 - 250ºC,"Flush, underbench or wallmount","",Automatic Countdown Timer,5,Text on panel,"",Countdown Timer,9,"ever clean enamel
thermoseal technology
vapour clean
cool door technology"
477,SFA578X,Oven,60cm Classic Thermoseal Oven,,597mmW x 592mmH x 570mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
1 x 40mm enamelled baking tray
1 x removable roof liner
2 x chrome shelves","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa578x,"","","",0.0,"",79L,Vapour Clean,1 x 40W halogen,"","",30 - 250ºC,Built-in,"",Digital Display,5,Digital Display,"",Fully programmable,9,"ever clean enamel
thermoseal technology
vapour clean
cool door technology"
478,SFA578X2,Oven,60cm Classic Thermoseal Oven,,597mmW x 592mmH x 570mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
1 x 40mm enamelled baking tray
2 x chrome shelves","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa578x2,"","","",0.0,"",79L,Vapour Clean,1 x 40W halogen,"","",30 - 250ºC,Built-in,"",Digital Display,5,Digital Display,"",Fully programmable,9,"ever clean enamel
thermoseal technology
vapour clean
cool door technology"
479,SFA579X,Oven,60cm Thermoseal Oven,,597mmW x 592mmH x 570mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","2 x Chrome grill insert
1 x 40mm enamelled baking tray
1 x removable roof liner
2 x chrome shelves","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa579x,"","","",0.0,"",79L,Vapour Clean,1 x 40W halogen,"","",30 - 250ºC,Built-in,"",Digital Display,5,Digital Display,"",Fully programmable,9,"ever clean enamel
thermoseal technology
vapour clean
cool door technology"
480,SFA579X2,Oven,60cm Thermoseal Oven,,597mmW x 592mmH x 570mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","2 x Chrome grill insert
1 x 40mm enamelled baking tray
2 x chrome shelves","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa579x2,"","","",0.0,"",79L,Vapour Clean,1 x 40W halogen,"","",30 - 250ºC,Built-in,"",Digital Display,5,Digital Display,"",Fully programmable,9,"ever clean enamel
thermoseal technology
vapour clean
cool door technology"
493,SFA6903P,Oven,60cm Victoria Thermoseal Oven - Cream,,597mmW x 592mmH x 571mmD,Panna (Cream) enamel,"1 x Chrome shelf
1 x 40mm Enamelled baking tray","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool Door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa6903p,"","","",0.0,"",79L,Ever Clean enamel,1 x 40W halogen,"","",50 - 250ºC,Built-in,"","",5,Text on panel,"",Timer,6,"ever clean enamel
thermoseal technology
cool door technology
ergonomic controls
'modern vintage' design"
481,SFA6101SUN,Oven,60cm Linear Thermoseal Oven - All Black Special Edition,,597mmW x 592mmH x 570mmD,Stainless steel black Stopsol® reflective glass,"1 x chrome shelves
1 x 40mm enamelled baking tray
1 x chrome grill insert","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 Total telescopic guides","Thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa6101sun,"","","",0.0,"",79L,"Smeg Vapour Clean, Ever-Clean enamelling",1 x 40W halogen,"","",30 - 280ºC,Built-in,"","",5,Compact LCD,"",Fully programmable,14,"ever clean enamel
thermoseal technology
vapour clean
minimalist design"
482,SFA6101TVB,Oven,60cm Linear Thermoseal Oven - White,,597mmW x 592mmH x 570mmD,Stainless steel White Stopsol® reflective glass,"1 x chrome shelves
1 x 40mm enamelled baking tray
1 x chrome grill insert","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 Total telescopic guides","Thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa6101tvb,"","","",0.0,"",79L,"Smeg Vapour Clean, Ever-Clean enamelling",1 x 40W halogen,"","",30 - 280ºC,Built-in,"","",5,Compact LCD,"",Fully programmable,14,"ever clean enamel
thermoseal technology
vapour clean
minimalist design"
483,SFA6101TVN,Oven,60cm Linear Thermoseal Oven - Black,,597mmW x 592mmH x 570mmD,Stainless steel black Stopsol® reflective glass,"1 x chrome shelves
1 x 40mm enamelled baking tray
1 x chrome grill insert","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 Total telescopic guides","Thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa6101tvn,"","","",0.0,"",79L,"Smeg Vapour Clean, Ever-Clean enamelling",1 x 40W halogen,"","",30 - 280ºC,Built-in,"","",5,Compact LCD,"",Fully programmable,14,"ever clean enamel
thermoseal technology
vapour clean
minimalist design"
484,SFA6101TVS,Oven,60cm Linear Thermoseal Oven - Silver,,597mmW x 592mmH x 570mmD,Stainless steel Silver Stopsol® reflective glass,"1 x chrome shelves
1 x 40mm enamelled baking tray
1 x chrome grill insert","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 Total telescopic guides","Thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa6101tvs,"","","",0.0,"",79L,"Smeg Vapour Clean, Ever-Clean enamelling",1 x 40W halogen,"","",30 - 280ºC,Built-in,"","",5,Compact LCD,"",Fully programmable,14,"ever clean enamel
thermoseal technology
vapour clean
minimalist design"
485,SFA6300X,Oven,60cm Classic Thermoseal oven,classic,597mmW x 592mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","2 x Chrome shelves
1 x Chrome grill insert
1 x 40mm enamelled baking tray","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa6300x,"","","",0.0,"",79L,"Vapour Clean,  drop down grill",2 x 40W halogen,"","",50 - 280ºC,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
base_heat
vapour_clean","",5,Text on panel,Ever Clean enamel,Fully programmable,10 incl. Defrost and Vapour Clean,"ever clean enamel
thermoseal technology
vapour clean
cool door technology"
486,SFA6304X,Oven,60cm Classic Thermoseal oven,classic,597mmW x 592mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Removable roof liner","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa6304x,"","","",0.0,"",79L,Vapour Clean,1 x 40W halogen,"","",50 - 250ºC,Built-in,"base_heat
fan_assisted
convection
fan_forced
supercook
fan_grill
grill
vapour_clean
defrost","",5,Text on panel,Ever Clean enamel,"End of cooking alarm
 minute minder",9 incl.defrost,"ever clean enamel
thermoseal technology
vapour clean
ergonomic controls"
487,SFA6304X2,Oven,60cm Classic Thermoseal oven,classic,597mmW x 592mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa6304x2,"","","",0.0,"",79L,Vapour Clean,1 x 40W halogen,"","",50 - 250ºC,Built-in,"base_heat
fan_assisted
convection
fan_forced
supercook
fan_grill
grill
vapour_clean
defrost
defrost_by_time","",5,Text on panel,Ever Clean enamel,"End of cooking alarm
 minute minder",9 incl.defrost,"ever clean enamel
thermoseal technology
vapour clean
ergonomic controls"
488,SFA6309X,Oven,60cm Classic Thermoseal oven,classic,597mmW x 592mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Partial telescopic guides
1 x Removable roof liner","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa6309x,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"","",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode","",5,Compact LCD,Ever Clean enamel,Fully programmable,"14 incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
easy read display
thermoseal technology
vapour clean"
489,SFA6603NR,Oven,60cm Dolce Stil Novo Thermoseal Oven,,597mmW x 592mmH x 570mmD,Eclipse High Visibility Black Glass with Copper Trim,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides
1 x Removable roof liner","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa6603nr,"","","",0.0,"",79L,Vapour Clean,2 x 40W halogen,"","",30 - 280ºC,Built-in,"","",5,TFT,"",Fully programmable,"15 + 50 SmartSense Plus auto menus
incl.  Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
vapour clean"
490,SFA6603NX,Oven,60cm Dolce Stil Novo Thermoseal Oven,,597mmW x 592mmH x 570mmD,Eclipse High Visibility Black Glass with Stainless Steel Trim,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides
1 x Removable roof liner","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa6603nx,"","","",0.0,"",79L,Vapour Clean,2 x 40W halogen,"","",30 - 280ºC,Built-in,"","",5,TFT,"",Fully programmable,"15 + 50 SmartSense Plus auto menus
incl.  Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
vapour clean"
491,SFA6903B,Oven,60cm Victoria Thermoseal Oven - White,,597mmW x 592mmH x 571mmD,White enamel,"1 x Chrome shelf
1 x 40mm Enamelled baking tray","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool Door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa6903b,"","","",0.0,"",79L,Ever Clean enamel,1 x 40W halogen,"","",50 - 250ºC,Built-in,"","",5,Text on panel,"",Timer,6,"ever clean enamel
thermoseal technology
cool door technology
ergonomic controls
'modern vintage' design"
492,SFA6903N,Oven,60cm Victoria Thermoseal Oven - Black,,597mmW x 592mmH x 571mmD,Black enamel,"1 x Chrome shelf
1 x 40mm Enamelled baking tray","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool Door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa6903n,"","","",0.0,"",79L,Ever Clean enamel,1 x 40W halogen,"","",50 - 250ºC,Built-in,"","",5,Text on panel,"",Timer,6,"ever clean enamel
thermoseal technology
cool door technology
ergonomic controls
'modern vintage' design"
494,SFA6903X,Oven,60cm Victoria Thermoseal Oven - Stainless Steel,,597mmW x 592mmH x 571mmD,Stainless steel,"1 x Chrome shelf
1 x 40mm Enamelled baking tray","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool Door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa6903x,"","","",0.0,"",79L,Ever Clean enamel,1 x 40W halogen,"","",50 - 250ºC,Built-in,"","",5,Text on panel,"",Timer,6,"ever clean enamel
thermoseal technology
cool door technology
ergonomic controls
'modern vintage' design"
495,SFA7125,Oven,70cm Linear Thermoseal oven,linear,698mmW x 597mmH x 566mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"1 x Chrome grill insert
2 x Chrome shelves
3 x 20mm enamelled baking tray","PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-1 - Partial telescopic guides
GT1T-1 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3200W,16A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa7125,"","","",0.0,"",90L,Vapour Clean,2 x 25W incandescent,"","",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",4,Large LCD,"",Fully programmable,"15 + 20 SmartSense auto menus
incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
smartsense - 20 auto menus
thermoseal technology
vapour clean"
